img,output,timestamp
.gradio\flagged\img\3ddd19db18575f403c41\close-up-delicious-apple_23-2151868338.avif,"{""Prediction"": ""apple_fresh"", ""Confidence (%)"": ""96.31%"", ""Top-3 Predictions"": {""apple_fresh"": ""96.31%"", ""apple_rotten"": ""0.60%"", ""tomato_fresh"": ""0.51%""}}",2025-12-06 21:30:37.017210
.gradio\flagged\img\f2bdb0b9d60dec437c92\rotten-mango-close-up-on-a-white-background-TX04TP.jpg,"{""Prediction"": ""mango_rotten"", ""Confidence (%)"": ""76.81%"", ""Top-3 Predictions"": {""mango_rotten"": ""76.81%"", ""tomato_rotten"": ""6.53%"", ""apple_rotten"": ""5.86%""}}",2025-12-06 22:07:24.297177
